arc,n_samples,method,time_s,metric_name,metric,failed,regime,n_bezier
13->530,542,gen_beta_mle,0.050793998001609,nll,-2063.0421446379733,False,rush_hour,10
13->530,542,johnson_mle,0.08194103604182601,nll,-2062.7175603201786,False,rush_hour,10
13->532,542,bezier_mle,0.11764518695417792,nll,-2646.621790988347,False,rush_hour,10
13->532,542,gen_beta_mle,0.07696951302932575,nll,-4031.7179033109887,False,rush_hour,10
13->532,542,johnson_mle,0.09151507494971156,nll,-2549.4551006907095,False,rush_hour,10
130->450,542,bezier_mle,0.005998136010020971,nll,-2318.690961415071,False,rush_hour,10
130->450,542,gen_beta_mle,0.06688766396837309,nll,-2285.4927219527635,False,rush_hour,10
130->450,542,johnson_mle,0.03452806698624045,nll,-2293.5419699659096,False,rush_hour,10
130->65,542,bezier_mle,0.07679300900781527,nll,-2506.271688818989,False,rush_hour,10
130->65,542,gen_beta_mle,0.0723996179876849,nll,-2532.5763062018013,False,rush_hour,10
130->65,542,johnson_mle,0.027523224998731166,nll,-2639.221210864813,False,rush_hour,10
131->221,542,bezier_mle,0.013033055991400033,nll,-2011.1023415687023,False,rush_hour,10
131->221,542,gen_beta_mle,0.072926004009787,nll,-2002.4490144423514,False,rush_hour,10
131->221,542,johnson_mle,0.04512757802149281,nll,-2002.4326341792466,False,rush_hour,10
131->457,542,bezier_mle,0.06899292703019455,nll,-1868.4549581257736,False,rush_hour,10
131->457,542,gen_beta_mle,0.04378644598182291,nll,-1903.3359968656946,False,rush_hour,10
131->457,542,johnson_mle,0.019334484997671098,nll,-1904.7154093884635,False,rush_hour,10
132->133,542,bezier_mle,0.040883406007196754,nll,-2057.006844370432,False,rush_hour,10
132->133,542,gen_beta_mle,0.041357621958013624,nll,-2208.5925993614082,False,rush_hour,10
132->133,542,johnson_mle,0.025540731963701546,nll,-2328.4522106938925,False,rush_hour,10
132->493,542,bezier_mle,0.054143078974448144,nll,-2284.4579962873922,False,rush_hour,10
132->493,542,gen_beta_mle,0.05528815800789744,nll,-2517.8694437773597,False,rush_hour,10
132->493,542,johnson_mle,0.016943822032772005,nll,-2341.3673007918173,False,rush_hour,10
133->132,542,bezier_mle,0.06389552098698914,nll,-2292.971004295009,False,rush_hour,10
133->132,542,gen_beta_mle,0.05067850195337087,nll,-2526.249662347968,False,rush_hour,10
133->132,542,johnson_mle,0.015157067973632365,nll,-2349.8803087994347,False,rush_hour,10
133->479,542,bezier_mle,0.06076576601481065,nll,-2352.308892904495,False,rush_hour,10
133->479,542,gen_beta_mle,0.040471039013937116,nll,-2739.880459125815,False,rush_hour,10
133->479,542,johnson_mle,0.03958686604164541,nll,-2334.294895531554,False,rush_hour,10
134->135,542,bezier_mle,0.05546126596163958,nll,-2631.515456396682,False,rush_hour,10
134->135,542,gen_beta_mle,0.04989278898574412,nll,-2674.776577092838,False,rush_hour,10
134->135,542,johnson_mle,0.014112387027125806,nll,-2690.9473975693945,False,rush_hour,10
134->320,542,bezier_mle,0.06648684799438342,nll,-2253.0233961139957,False,rush_hour,10
134->320,542,gen_beta_mle,0.0336842630058527,nll,-2327.404987486865,False,rush_hour,10
134->320,542,johnson_mle,0.013649476983118802,nll,-2388.3014654294047,False,rush_hour,10
135->134,542,bezier_mle,0.030711571977008134,nll,-2627.955899267702,False,rush_hour,10
135->134,542,gen_beta_mle,0.03300625301199034,nll,-2522.3753681927174,False,rush_hour,10
135->134,542,johnson_mle,0.014536826987750828,nll,-2591.281068634041,False,rush_hour,10
135->479,542,bezier_mle,0.008756543975323439,nll,-2346.4027154828786,False,rush_hour,10
135->479,542,gen_beta_mle,0.03446190798422322,nll,-2213.9451447846454,False,rush_hour,10
135->479,542,johnson_mle,0.015128374972846359,nll,-2331.906706524998,False,rush_hour,10
136->444,542,bezier_mle,0.04409936396405101,nll,-1961.844933034203,False,rush_hour,10
136->444,542,gen_beta_mle,0.02666396100539714,nll,-1945.969423473976,False,rush_hour,10
136->444,542,johnson_mle,0.014720395032782108,nll,-1956.3019230984476,False,rush_hour,10
136->517,542,bezier_mle,0.004395239055156708,nll,-1945.8379562105324,False,rush_hour,10
136->517,542,gen_beta_mle,0.016107817005831748,nll,-1942.4636390485052,False,rush_hour,10
136->517,542,johnson_mle,0.0208092579850927,nll,-1945.2658886864128,False,rush_hour,10
137->118,542,bezier_mle,0.02044226898578927,nll,-2082.9372106533647,False,rush_hour,10
137->118,542,gen_beta_mle,0.02580308000324294,nll,-2087.398344874647,False,rush_hour,10
137->118,542,johnson_mle,0.03765785600990057,nll,-2087.828415230396,False,rush_hour,10
137->466,542,bezier_mle,0.047564864973537624,nll,-1993.9466691040832,False,rush_hour,10
137->466,542,gen_beta_mle,0.019068775000050664,nll,-1986.7957837484882,False,rush_hour,10
137->466,542,johnson_mle,0.03990820096805692,nll,-1996.3345528354905,False,rush_hour,10
138->422,542,bezier_mle,0.0042800200171768665,nll,-2409.4988313278905,False,rush_hour,10
138->422,542,gen_beta_mle,0.026323136989958584,nll,-2386.286346063775,False,rush_hour,10
138->422,542,johnson_mle,0.046845145989209414,nll,-2388.65953254031,False,rush_hour,10
138->467,542,bezier_mle,0.036511497979518026,nll,-2365.617518819293,False,rush_hour,10
138->467,542,gen_beta_mle,0.03484002099139616,nll,-2328.550702468415,False,rush_hour,10
138->467,542,johnson_mle,0.013571741001214832,nll,-2350.5018271511417,False,rush_hour,10
139->374,542,bezier_mle,0.07730519399046898,nll,-2758.533252226909,False,rush_hour,10
139->374,542,gen_beta_mle,0.034571749973110855,nll,-2760.8024252960186,False,rush_hour,10
139->374,542,johnson_mle,0.018786096014082432,nll,-2763.4320530202986,False,rush_hour,10
139->468,542,bezier_mle,0.04357415297999978,nll,-1770.419099063801,False,rush_hour,10
139->468,542,gen_beta_mle,0.034702958015259355,nll,-1962.222491585633,False,rush_hour,10
139->468,542,johnson_mle,0.017602381005417556,nll,-2043.4709654170001,False,rush_hour,10
14->392,542,bezier_mle,0.008079096965957433,nll,-1949.2626040686528,False,rush_hour,10
14->392,542,gen_beta_mle,0.02734640397829935,nll,-1943.7774440153526,False,rush_hour,10
14->392,542,johnson_mle,0.02829026395920664,nll,-1952.95217737149,False,rush_hour,10
14->76,542,bezier_mle,0.007438913045916706,nll,-2202.0459470576316,False,rush_hour,10
14->76,542,gen_beta_mle,0.03372734197182581,nll,-2179.0145057964437,False,rush_hour,10
14->76,542,johnson_mle,0.01749445596942678,nll,-2203.8786828542775,False,rush_hour,10
140->152,542,bezier_mle,0.005281334975734353,nll,-2467.753637614428,False,rush_hour,10
140->152,542,gen_beta_mle,0.03554120199987665,nll,-2426.3573536138283,False,rush_hour,10
140->152,542,johnson_mle,0.013749608013313264,nll,-2446.158507523508,False,rush_hour,10
140->469,542,bezier_mle,0.06181187101174146,nll,-2229.985315056867,False,rush_hour,10
140->469,542,gen_beta_mle,0.042176216025836766,nll,-2219.9854840795897,False,rush_hour,10
140->469,542,johnson_mle,0.01260143896797672,nll,-2260.951824036703,False,rush_hour,10
141->399,542,bezier_mle,0.003317229973617941,nll,-2234.2137978289347,False,rush_hour,10
141->399,542,gen_beta_mle,0.016134074016008526,nll,-2230.3067837592603,False,rush_hour,10
141->399,542,johnson_mle,0.04750274500111118,nll,-2229.099137211726,False,rush_hour,10
141->510,542,bezier_mle,0.008180515957064927,nll,-2785.956208276837,False,rush_hour,10
141->510,542,gen_beta_mle,0.019333547970745713,nll,-2793.2274593705033,False,rush_hour,10
141->510,542,johnson_mle,0.04718778800452128,nll,-2792.4421357937,False,rush_hour,10
142->470,542,bezier_mle,0.03491123003186658,nll,-2101.9140772680635,False,rush_hour,10
142->470,542,gen_beta_mle,0.05254862701985985,nll,-2063.9284515276304,False,rush_hour,10
142->470,542,johnson_mle,0.024537438992410898,nll,-2101.9069586665364,False,rush_hour,10
142->86,542,bezier_mle,0.007472600031178445,nll,-2229.6155318817036,False,rush_hour,10
142->86,542,gen_beta_mle,0.08092420402681455,nll,-2316.2646903898294,False,rush_hour,10
142->86,542,johnson_mle,0.08066765702096745,nll,-2191.616568302418,False,rush_hour,10
143->415,542,bezier_mle,0.10233780095586553,nll,-2004.9793409705221,False,rush_hour,10
143->415,542,gen_beta_mle,0.04669056698912755,nll,-2072.5036793900717,False,rush_hour,10
143->415,542,johnson_mle,0.03150668297894299,nll,-2100.334990103192,False,rush_hour,10
143->74,542,bezier_mle,0.08103277097688988,nll,-1493.1638611622927,False,rush_hour,10
143->74,542,gen_beta_mle,0.06363860896090046,nll,-1468.5289262563347,False,rush_hour,10
143->74,542,johnson_mle,0.03047586401225999,nll,-1612.624127625378,False,rush_hour,10
144->145,542,bezier_mle,0.012445278000086546,nll,-2280.433597632395,False,rush_hour,10
144->145,542,gen_beta_mle,0.09004522697068751,nll,-2312.6285873731376,False,rush_hour,10
144->145,542,johnson_mle,0.07392582698957995,nll,-2224.516616072061,False,rush_hour,10
144->383,542,bezier_mle,0.008416466997005045,nll,-2298.610848752226,False,rush_hour,10
144->383,542,gen_beta_mle,0.07435825397260487,nll,-2252.8170811849886,False,rush_hour,10
144->383,542,johnson_mle,0.03007625200552866,nll,-2284.6057148359523,False,rush_hour,10
145->144,542,bezier_mle,0.00816227198811248,nll,-2022.5967563315176,False,rush_hour,10
145->144,542,gen_beta_mle,0.09859852399677038,nll,,True,rush_hour,10
145->144,542,johnson_mle,0.02587498800130561,nll,-2013.4603108791764,False,rush_hour,10
145->509,542,bezier_mle,0.07712814200203866,nll,-1550.9224937343138,False,rush_hour,10
145->509,542,gen_beta_mle,0.0684913179720752,nll,-1759.1734502558388,False,rush_hour,10
145->509,542,johnson_mle,0.028914522961713374,nll,-1837.346474032474,False,rush_hour,10
146->147,542,bezier_mle,0.05338314897380769,nll,-2049.634809062086,False,rush_hour,10
146->147,542,gen_beta_mle,0.06746800302062184,nll,-2039.7616988614172,False,rush_hour,10
146->147,542,johnson_mle,0.08773400902282447,nll,-2042.815957232377,False,rush_hour,10
146->415,542,bezier_mle,0.07324457896174863,nll,-1894.952523081723,False,rush_hour,10
