n,rep,m,status,MSE,sup,l2,time_ms
19,7,7220,ok,5.267547440379537e-06,0.008422839716502262,0.004341168896810174,202.3054610035615
19,8,7220,attempt,,,,
19,8,7220,ok,6.952913066830803e-06,0.011583431034280722,0.005009029401721245,210.65114600060042
19,9,7220,attempt,,,,
19,9,7220,ok,5.71864859658336e-06,0.009269613447093872,0.004898175770825627,215.0244110089261
24,0,11520,attempt,,,,
24,0,11520,ok,3.200433553647132e-06,0.009725263545170448,0.004012689462366454,420.74780499388
24,1,11520,attempt,,,,
24,1,11520,ok,2.532925739153905e-06,0.0076479919453518175,0.003096974189689875,407.9502669919748
24,2,11520,attempt,,,,
